	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
AUTO_DOWNLOADS_PAUSED_STORAGE_FULL	{"NSStringDeviceSpecificRuleType": {"other": "Device storage is full.\nAutomatic Downloads are paused.", "ipad": "iPad storage is full.\nAutomatic Downloads are paused.", "applevision": "Apple Vision Pro storage is full.\nAutomatic Downloads are paused.", "iphone": "iPhone storage is full.\nAutomatic Downloads are paused.", "ipod": "iPod storage is full.\nAutomatic Downloads are paused.", "mac": "Mac storage is full.\nAutomatic Downloads are paused."}}
AUTO_DOWNLOADS_PAUSED_STORAGE_LOW	{"NSStringDeviceSpecificRuleType": {"other": "Device storage almost full.\nAutomatic Downloads are paused.", "ipad": "iPad storage almost full.\nAutomatic Downloads are paused.", "applevision": "Apple Vision Pro storage almost full.\nAutomatic Downloads are paused.", "iphone": "iPhone storage almost full.\nAutomatic Downloads are paused.", "ipod": "iPod storage almost full.\nAutomatic Downloads are paused.", "mac": "Mac storage almost full.\nAutomatic Downloads are paused."}}
AUTO_DOWNLOADS_REENABLE_STORAGE_FULL_PROMPT	{"NSStringDeviceSpecificRuleType": {"other": "Your device storage is full. Free up storage and episodes can start downloading again.", "ipad": "Your iPad storage is full. Free up storage and episodes can start downloading again.", "applevision": "Your Apple Vision Pro storage is full. Free up storage and episodes can start downloading again.", "iphone": "Your iPhone storage is full. Free up storage and episodes can start downloading again.", "ipod": "Your iPod storage is full. Free up storage and episodes can start downloading again.", "mac": "Your Mac storage is full. Free up storage and episodes can start downloading again."}}
AUTO_DOWNLOADS_REENABLE_STORAGE_LOW_PROMPT	{"NSStringDeviceSpecificRuleType": {"other": "Your device is low on storage. Free up storage and episodes can start downloading again.", "ipad": "Your iPad is low on storage. Free up storage and episodes can start downloading again.", "applevision": "Your Apple Vision Pro is low on storage. Free up storage and episodes can start downloading again.", "iphone": "Your iPhone is low on storage. Free up storage and episodes can start downloading again.", "ipod": "Your iPod is low on storage. Free up storage and episodes can start downloading again.", "mac": "Your Mac is low on storage. Free up storage and episodes can start downloading again."}}
AUTO_DOWNLOADS_REENABLE_STORAGE_PROMPT_ACTION	{"NSStringDeviceSpecificRuleType": {"other": "Device Storage Settings…", "ipad": "iPad Storage Settings…", "applevision": "Apple Vision Pro Storage Settings…", "iphone": "iPhone Storage Settings…", "ipod": "iPod Storage Settings…", "mac": "Mac Storage Settings…"}}
AUTO_DOWNLOAD_ALL	All Unplayed
AUTO_DOWNLOAD_CELLULAR_MODE_AUDIO_ONLY	Audio Only
AUTO_DOWNLOAD_CELLULAR_MODE_AUDIO_ONLY_DETAIL	Audio will download over cellular, video on Wi-Fi
AUTO_DOWNLOAD_CELLULAR_MODE_AUDIO_ONLY_DETAIL_WLAN	Audio will download over cellular, video on WLAN
AUTO_DOWNLOAD_CELLULAR_MODE_LABEL	Allow Over Cellular
AUTO_DOWNLOAD_CELLULAR_MODE_OFF	Off
AUTO_DOWNLOAD_CELLULAR_MODE_OFF_DETAIL	Automatic Downloads on Wi-Fi Only
AUTO_DOWNLOAD_CELLULAR_MODE_OFF_DETAIL_WLAN	Automatic Downloads on WLAN Only
AUTO_DOWNLOAD_CELLULAR_MODE_VIDEO	Video
AUTO_DOWNLOAD_CELLULAR_MODE_VIDEO_DETAIL	Audio and video will download over cellular
AUTO_DOWNLOAD_NEW	Only New
AUTO_DOWNLOAD_OFF	Off
